Methane_ppm,CO2_ppm,NH3_ppm,H2S_ppm,Temperature_C,Humidity_percent,Garbage_Present,Risk_Level
49.93,357.62,8.22,7.28,31.74,62.56,No,Medium
37.23,354.66,11.95,7.84,31.42,60.18,No,Low
52.95,250.0,9.03,8.32,25.32,53.53,Yes,Medium
70.46,366.99,16.1,12.73,32.9,59.96,Yes,High
35.32,473.28,26.97,4.26,22.55,67.36,Yes,Medium
35.32,272.58,7.29,3.77,26.73,58.11,No,Low
71.58,504.85,25.01,14.18,20.0,66.3,Yes,High
55.35,448.78,7.18,5.69,37.79,47.45,Yes,Medium
30.61,326.58,6.52,1.68,28.84,50.94,No,Low
50.85,385.85,23.19,5.57,40.83,48.99,Yes,Medium
30.73,559.83,24.22,6.35,34.01,51.52,No,Medium
30.69,473.35,23.51,15.77,32.24,79.31,No,High
44.84,400.88,1.84,12.62,27.07,70.89,No,Medium
1.73,376.23,10.34,13.74,24.77,43.85,No,Low
5.5,407.66,23.23,12.1,32.61,66.56,No,Medium
28.75,348.82,15.42,12.73,29.64,54.14,No,Low
19.74,250.0,4.26,4.56,23.3,49.76,No,Low
46.28,604.22,19.58,7.01,22.42,37.71,No,Medium
21.84,415.53,7.85,3.05,25.21,74.58,No,Low
11.75,439.81,32.95,6.95,39.1,39.54,Yes,Medium
69.31,394.21,30.45,11.42,41.07,59.22,Yes,Medium
35.48,326.49,21.04,8.67,31.02,45.81,No,Medium
41.35,381.41,28.61,14.56,30.74,71.64,Yes,Medium
11.51,250.0,15.65,2.29,28.32,54.98,No,Low
29.11,627.71,22.65,10.5,25.33,57.98,No,Medium
42.22,276.55,29.78,1.76,36.88,58.49,Yes,Medium
16.98,296.8,17.45,8.47,39.37,64.54,No,Low
47.51,355.97,12.45,11.7,25.53,60.2,No,Medium
27.99,528.81,0.0,6.93,29.59,59.35,No,Low
34.17,401.45,14.17,10.76,27.75,52.22,No,Low
27.97,276.39,23.23,3.2,27.9,36.38,No,Medium
77.05,525.43,24.46,0.0,35.93,43.22,Yes,High
39.73,473.1,20.04,10.79,23.44,70.78,No,Medium
18.85,453.84,9.59,16.72,32.33,55.41,No,High
56.45,471.57,0.0,3.02,33.64,50.04,Yes,Medium
15.58,639.44,10.05,14.11,29.29,38.91,No,Low
44.18,618.51,11.96,8.22,34.47,34.21,No,Medium
0.81,331.33,11.87,1.32,30.74,49.45,No,Low
13.44,562.39,21.19,2.34,36.09,73.32,No,Medium
43.94,438.32,34.86,8.08,22.39,51.64,Yes,Medium
54.77,449.91,16.24,5.98,28.26,66.01,Yes,Medium
43.43,250.0,12.83,1.44,29.64,50.95,No,Medium
37.69,382.96,12.41,0.0,16.64,69.58,No,Low
33.98,318.72,16.24,3.77,24.57,54.72,No,Low
10.43,482.81,6.72,8.97,25.93,41.52,No,Low
25.6,507.11,16.2,7.97,34.74,55.97,No,Low
30.79,250.0,19.51,5.49,26.47,87.51,No,Low
61.14,397.8,17.1,9.01,25.91,86.85,Yes,Medium
46.87,512.19,19.58,13.2,34.09,67.3,No,Medium
4.74,381.33,19.34,9.97,21.91,57.94,No,Low
46.48,472.91,0.0,7.39,19.64,64.56,No,Medium
32.3,435.12,21.37,12.64,28.19,64.75,No,Medium
26.46,434.17,8.29,3.2,22.76,59.4,No,Low
52.23,372.87,4.04,6.88,22.95,66.61,Yes,Medium
60.62,278.34,3.96,6.99,32.87,63.12,Yes,Medium
58.63,287.85,19.34,1.82,34.38,55.26,Yes,Medium
23.22,470.94,12.77,5.9,33.94,42.07,No,Low
33.82,401.95,0.0,0.0,35.54,53.1,No,Low
46.63,386.15,19.78,17.56,36.21,71.99,No,High
59.51,357.61,0.6,3.31,19.36,59.53,Yes,Medium
30.42,369.48,16.4,15.93,32.25,64.5,No,High
36.29,504.69,17.38,8.19,27.35,55.75,No,Low
17.87,366.48,23.86,10.82,26.26,44.11,No,Medium
16.08,265.89,32.82,5.56,32.8,56.42,Yes,Medium
56.25,474.37,1.35,9.04,21.35,44.66,Yes,Medium
67.12,379.51,14.48,11.25,21.24,43.71,Yes,Medium
38.56,403.14,12.24,11.32,33.17,78.08,No,Low
60.07,560.76,19.34,11.87,32.44,53.7,Yes,Medium
47.23,397.94,17.16,6.16,30.68,48.88,No,Medium
27.1,428.92,11.47,5.6,25.6,84.27,No,Low
47.23,282.11,10.59,0.03,33.72,72.22,No,Medium
70.76,378.03,3.84,10.62,33.4,54.43,Yes,High
39.28,460.95,24.88,13.41,30.43,66.41,No,Medium
71.29,250.0,19.59,16.08,24.11,56.46,Yes,High
0.0,420.08,24.18,9.53,27.87,49.61,No,Medium
56.44,410.08,11.9,4.17,34.19,67.12,Yes,Medium
41.74,404.13,8.43,0.0,36.64,55.14,No,Medium
34.02,503.72,4.22,13.21,28.37,61.13,No,Low
41.84,433.44,18.59,0.0,28.75,75.32,No,Medium
0.25,547.81,4.6,6.3,29.19,73.67,No,Low
35.61,300.64,33.49,6.88,31.37,51.75,Yes,Medium
47.14,413.59,1.92,7.65,27.09,67.29,No,Medium
69.56,408.45,17.74,8.18,15.53,43.08,Yes,Medium
29.63,293.07,30.67,8.69,35.96,66.76,Yes,Medium
23.83,495.63,20.99,0.0,38.97,62.23,No,Medium
29.96,632.47,16.76,8.07,26.94,65.68,No,Low
58.31,398.3,5.32,0.0,24.67,55.54,Yes,Medium
46.58,450.5,1.18,11.66,29.31,91.26,No,Medium
29.4,408.45,22.7,5.22,29.06,46.48,No,Medium
50.27,328.64,30.06,0.0,34.98,74.57,Yes,Medium
41.94,250.0,10.61,3.93,30.27,44.52,No,Medium
59.37,329.42,3.61,5.15,26.04,67.57,Yes,Medium
25.96,260.8,0.0,13.95,23.41,68.64,No,Low
33.45,570.41,5.19,8.98,34.33,60.82,No,Low
32.16,388.49,13.86,9.72,33.0,52.57,No,Low
10.73,365.41,30.99,13.91,35.3,62.12,Yes,Medium
45.92,488.92,21.73,7.52,25.16,64.01,No,Medium
45.22,287.82,18.05,11.77,39.19,86.85,No,Medium
40.1,323.31,11.0,11.42,21.28,46.91,No,Medium
35.31,406.81,9.17,1.57,33.55,51.66,No,Low
11.69,502.88,29.06,15.36,20.45,64.27,Yes,High
31.59,450.17,17.01,0.9,26.05,56.16,No,Low
33.15,424.83,0.0,12.59,37.81,58.5,No,Low
23.95,407.81,8.26,0.41,34.16,76.06,No,Low
36.77,440.02,6.42,11.01,27.27,20.0,No,Low
48.08,420.17,9.54,17.31,27.41,51.03,No,High
77.72,297.0,20.63,6.94,30.5,33.86,Yes,High
43.49,404.61,13.93,6.72,32.57,42.06,No,Medium
45.15,292.63,14.23,11.05,36.26,96.07,No,Medium
38.51,408.11,28.13,6.35,27.72,68.97,Yes,Medium
1.62,351.94,8.04,17.09,21.94,74.27,No,High
39.47,653.94,33.64,8.96,30.78,58.79,Yes,Medium
41.2,396.01,8.29,6.4,27.71,71.38,No,Medium
89.26,259.58,15.89,5.3,23.5,33.5,Yes,High
36.15,386.58,12.19,3.34,31.49,75.57,No,Low
46.03,451.94,16.23,4.86,28.93,47.7,No,Medium
39.31,567.34,19.45,6.25,31.53,52.03,No,Low
16.63,341.05,19.34,5.56,25.53,67.58,No,Low
62.86,250.0,7.47,4.71,32.43,64.75,Yes,Medium
55.04,481.68,3.77,18.49,23.41,61.27,Yes,High
55.82,261.94,40.03,2.85,25.86,39.55,Yes,High
21.81,356.38,10.16,8.73,28.79,61.5,No,Low
68.06,374.24,21.99,10.96,38.71,74.41,Yes,Medium
11.96,393.04,0.0,11.15,33.92,52.01,No,Low
51.74,468.92,12.2,7.71,35.39,79.72,Yes,Medium
83.81,331.64,13.73,6.8,37.09,46.91,Yes,High
20.19,372.63,19.73,10.26,48.01,60.1,No,Low
28.67,398.57,0.0,9.33,30.21,83.03,No,Low
41.99,414.96,16.66,6.71,37.1,49.78,No,Medium
29.93,409.78,3.5,0.19,35.06,75.81,No,Low
8.99,443.6,18.24,5.66,34.98,89.62,No,Low
41.37,484.38,4.64,2.27,38.87,62.57,No,Medium
18.75,439.26,6.45,4.66,27.9,52.09,No,Low
49.47,445.36,12.26,8.17,27.51,48.41,No,Medium
21.61,250.0,4.48,9.79,31.6,79.57,No,Low
71.0,405.02,10.24,16.9,29.09,79.15,Yes,High
24.33,447.95,3.07,5.31,31.59,81.74,No,Low
33.56,472.89,0.0,11.87,37.81,59.51,No,Low
56.27,330.76,25.18,9.53,27.61,75.57,Yes,Medium
15.38,334.1,2.04,14.48,28.48,59.27,No,Low
44.55,342.59,13.21,10.88,30.87,46.75,No,Medium
66.14,453.64,22.53,2.96,28.86,76.86,Yes,Medium
7.85,503.39,8.85,0.0,20.43,84.51,No,Low
43.69,359.25,6.75,9.56,27.1,44.69,No,Medium
45.2,490.8,17.26,5.36,33.44,44.41,No,Medium
55.64,412.35,26.18,3.1,37.19,60.6,Yes,Medium
15.26,387.57,3.31,1.66,24.23,74.34,No,Low
13.59,378.86,13.5,8.8,24.2,42.99,No,Low
50.44,474.66,0.0,15.54,30.15,63.41,Yes,High
45.94,432.56,11.07,5.96,19.62,51.14,No,Medium
45.01,627.58,15.34,10.95,27.78,70.51,No,Medium
46.93,314.78,6.45,7.49,21.32,48.03,No,Medium
26.4,451.81,10.43,1.55,36.85,71.58,No,Low
44.65,347.08,0.92,11.67,26.15,57.63,No,Medium
45.86,313.07,15.77,2.53,38.26,45.94,No,Medium
25.71,398.91,25.56,8.11,35.57,60.96,Yes,Medium
77.32,413.74,4.03,6.29,26.77,30.93,Yes,High
49.48,691.82,8.77,12.47,24.64,51.61,No,Medium
16.17,381.59,20.03,2.71,29.03,65.06,No,Medium
53.13,286.98,27.12,9.95,29.48,33.42,Yes,Medium
20.51,427.3,0.07,3.8,31.73,21.43,No,Low
55.74,250.0,13.31,5.44,26.12,24.91,Yes,Medium
63.17,390.8,17.83,0.0,33.73,79.91,Yes,Medium
23.59,401.6,13.98,18.46,31.33,58.85,No,High
59.27,479.46,0.0,10.75,28.3,52.01,Yes,Medium
48.26,497.36,20.01,4.16,26.44,74.18,No,Medium
56.44,349.64,30.19,2.38,29.08,53.93,Yes,Medium
77.94,384.94,16.17,5.52,25.92,64.03,Yes,High
35.09,323.39,4.69,11.58,30.29,60.39,No,Low
24.93,287.19,9.87,0.0,30.43,52.94,No,Low
22.21,430.99,32.7,7.29,31.31,64.41,Yes,Medium
23.68,272.64,24.1,16.85,38.83,71.6,No,High
38.46,358.54,21.4,2.33,29.34,57.23,No,Medium
46.82,300.48,18.56,8.4,35.02,53.09,No,Medium
45.53,454.97,8.39,19.02,31.15,54.86,No,High
56.54,580.14,12.99,11.16,28.81,25.53,Yes,Medium
40.26,269.84,14.22,8.63,29.4,64.25,No,Medium
69.07,250.0,20.5,10.53,29.71,41.86,Yes,Medium
34.71,387.51,30.09,6.0,31.4,69.45,Yes,Medium
94.4,401.57,26.18,14.5,25.2,58.64,Yes,High
52.51,421.87,0.81,6.0,22.67,61.58,Yes,Medium
22.86,355.37,17.24,0.0,33.27,70.5,No,Low
18.58,379.94,22.37,6.04,34.49,46.1,No,Medium
49.65,436.75,21.19,3.17,33.73,65.54,No,Medium
35.53,504.04,8.71,6.59,30.77,64.01,No,Low
54.28,250.0,44.14,6.7,33.84,57.23,Yes,High
49.46,363.11,2.23,13.99,33.57,46.08,No,Medium
38.54,421.38,4.17,11.48,33.94,68.93,No,Low
23.06,308.2,17.34,9.32,25.7,70.55,No,Low
9.7,573.12,36.17,7.99,24.52,61.7,Yes,High
31.07,336.46,6.64,2.71,28.06,43.95,No,Low
57.13,395.87,12.34,0.0,29.91,52.09,Yes,Medium
44.28,455.6,25.77,8.57,28.79,59.1,Yes,Medium
15.09,340.87,14.82,11.97,20.62,70.33,No,Low
43.46,250.0,11.65,7.46,38.61,36.25,No,Medium
47.71,357.13,20.66,5.33,28.63,51.54,No,Medium
22.32,502.94,17.73,10.32,30.86,53.96,No,Low
43.07,366.31,25.3,7.58,36.22,58.75,Yes,Medium
41.16,315.36,27.91,16.43,18.28,40.48,Yes,High
17.14,492.57,18.07,14.16,27.44,56.74,No,Low
47.16,366.92,17.92,12.8,28.06,55.34,No,Medium
51.22,348.98,17.14,11.79,28.32,44.44,Yes,Medium
61.66,414.95,19.89,1.55,29.13,58.23,Yes,Medium
61.08,477.08,15.55,11.31,37.24,51.88,Yes,Medium
12.45,638.17,14.99,9.88,33.37,67.43,No,Low
21.24,482.72,26.97,11.03,34.79,46.72,Yes,Medium
50.3,515.98,30.16,10.46,30.24,61.35,Yes,Medium
50.28,349.4,0.0,10.26,23.0,47.87,Yes,Medium
50.3,297.41,15.1,21.5,19.6,51.0,Yes,High
117.05,406.23,8.11,7.62,22.35,64.46,Yes,High
51.42,410.72,11.89,12.68,31.8,63.52,Yes,Medium
62.71,292.15,19.03,5.65,30.16,53.74,Yes,Medium
59.08,382.47,21.69,11.95,28.95,55.96,Yes,Medium
53.03,439.93,13.88,12.7,28.16,38.2,Yes,Medium
33.69,436.04,0.0,9.82,40.06,81.04,No,Low
55.18,450.43,5.35,16.35,25.89,70.31,Yes,High
24.54,429.1,23.96,3.58,34.64,69.77,No,Medium
35.26,349.3,0.0,5.56,30.01,36.07,No,Low
30.29,348.61,26.87,9.06,29.7,51.07,Yes,Medium
41.64,280.1,20.21,12.4,35.88,54.98,No,Medium
86.29,578.48,28.16,8.9,37.31,31.03,Yes,High
2.65,401.35,13.01,14.43,28.8,73.35,No,Low
53.73,377.51,0.0,4.69,34.0,81.81,Yes,Medium
7.75,307.12,19.3,2.3,31.82,90.93,No,Low
30.56,693.57,27.75,9.54,30.04,44.31,Yes,Medium
61.78,292.67,24.25,7.61,31.02,61.76,Yes,Medium
41.29,357.12,8.37,10.71,26.56,79.84,No,Medium
18.45,441.58,15.87,7.86,28.47,56.2,No,Low
25.69,460.02,9.67,6.3,27.1,51.5,No,Low
53.59,495.79,6.81,7.63,34.51,32.01,Yes,Medium
25.39,580.76,24.55,8.14,29.52,76.99,No,Medium
44.33,450.62,3.02,6.48,23.51,59.71,No,Medium
40.91,294.4,6.06,6.98,26.38,49.06,No,Medium
26.97,374.31,3.96,5.98,14.0,64.26,No,Low
82.88,430.78,0.1,12.28,27.53,62.3,Yes,High
52.68,606.82,16.46,8.97,30.19,62.52,Yes,Medium
0.0,260.22,26.62,19.28,29.32,56.74,Yes,High
43.73,520.26,13.15,8.8,39.9,84.34,No,Medium
26.76,417.99,0.0,5.25,32.87,58.0,No,Low
57.05,483.78,23.4,21.35,32.65,84.29,Yes,High
24.15,389.8,31.86,10.07,21.78,68.46,Yes,Medium
37.71,315.76,8.54,12.95,28.18,65.27,No,Low
50.1,475.09,10.21,10.96,27.57,58.3,Yes,Medium
57.32,465.44,20.16,11.12,26.07,74.61,Yes,Medium
